Ev_ID,Risk category,Risk subcategory,Description,should_be_game_theoretic,justification,fits_prisoner_s_dilemma,fits_chicken,fits_bach_or_stravinski,fits_no_conflict,fits_stag_hunt,fits_coordination,fits_matching_pennies
01.01.00,Type 1: Diffusion of responsibility,,"Societal-scale harm can arise from AI built by a diffuse collection of creators, where no one is uniquely accountable for the technology's creation or use, as in a classic ""tragedy of the commons"".",False,"Risk focuses on unexpected large impact from seemingly small AI (lab leak, addictive tool, repurposing), primarily as a single-system hazard, not on strategic interaction between multiple actors.",False,False,False,False,False,False,False
01.02.00,Type 2: Bigger than expected,,"Harm can result from AI that was not expected to have a large impact at all, such as a lab leak, a surprisingly addictive open-source product, or an unexpected repurposing of a research prototype.",True,"Multiple states or factions choose how far to weaponize AI; each side’s safety/escalation payoff depends on others’ choices. Escalation, deterrence, and coordination/safe-use dilemmas map to PD, Chicken, Stag Hunt, and Coordination.",True,True,False,False,True,True,False
01.03.00,Type 3: Worse than expected,,"AI intended to have a large societal impact can turn out harmful by mistake, such as a popular product that creates problems and partially solves them only for its users.",False,Bias from training data is primarily a single-actor quality/reliability issue; no explicit strategic interaction or payoff interdependence between distinct actors is specified.,False,False,False,False,False,False,False
01.04.00,Type 4: Willful indifference,,"As a side effect of a primary goal like profit or influence, AI creators can willfully allow it to cause widespread societal harms like pollution, resource depletion, mental illness, misinformation, or injustice.",True,"Students choose to abuse LLMs or comply, affecting norms, grading, and detection incentives. Strategic interdependence: mutual integrity vs cheating resembles PD/coordination or stag hunt on academic honesty.",True,False,False,False,True,True,False
01.05.00,Type 5: Criminal weaponization,,"One or more criminal entities could create AI to intentionally inflict harms, such as for terrorism or combating law enforcement.",False,Risk is primarily a single-actor quality/reliability issue: programmers relying on code gen tools may introduce hidden vulnerabilities. No explicit strategic interaction between interdependent agents is specified.,False,False,False,False,False,False,False
01.06.00,Type 6: State Weaponization,,"AI deployed by states in war, civil war, or law enforcement can easily yield societal-scale harm",False,"Described risk is about complex, vulnerable toolchains, not strategic choices between actors whose payoffs depend on each other. Primarily a technical/software security reliability issue.",False,False,False,False,False,False,False
02.01.00,Harmful Content,,"""The LLM-generated content sometimes contains biased, toxic, and private information""",False,"Described vulnerabilities are technical/software quality and security flaws, not inherently driven by strategic choices between interdependent actors in this framing.",False,False,False,False,False,False,False
02.01.01,Harmful Content,Bias,"""The training datasets of LLMs may contain biased information that leads LLMs to generate outputs with social biases""",True,"Multiple actors (tool vendors, model developers, attackers) choose security vs speed/cost; each payoff depends on others’ choices. Standards, investment, and trust resemble PD, stag hunt, and coordination/Bach-Stravinski.",True,False,True,False,True,True,False
02.01.02,Harmful Content,Toxicity,"""Toxicity means the generated content contains rude, disrespectful, and even illegal information""",False,"Risk focuses on technical vulnerabilities in pre-processing tools (e.g., OpenCV). As stated, it’s a single-system security flaw, not an explicit multi-actor strategic interaction.",False,False,False,False,False,False,False
02.01.03,Harmful Content,Privacy Leakage,"""Privacy Leakage means the generated content includes sensitive personal information""",False,"Described risk is generic hardware vulnerability: a technical reliability/exposure issue without specified interacting strategic actors or interdependent choices, so it is not inherently game-theoretic.",False,False,False,False,False,False,False
