test,game,cell,estimate,ci_lower,ci_upper,p_value,n_scenarios,headline_test,corrected_significant
Irreducibility,pd,"(selfish, 4×4, code-law)",0.6,0.4666666666666667,0.7333333333333334,0.0,5,True,True
Irreducibility (supporting),pd,"(selfish, 4×4, NL)",0.88,0.8,1.0,0.0,5,False,
Irreducibility,sh,"(selfish, 4×4, code-law)",0.6799999999999999,0.5333333333333333,0.8666666666666667,0.0,5,True,True
Irreducibility (supporting),sh,"(selfish, 4×4, NL)",0.84,0.7333333333333334,0.9333333333333333,0.0,5,False,
Realizability,pd,"4x4, no_comm",1.0000000000000007,1.0,1.0,0.0,150,False,
Realizability,pd,"4x4, code_nl",0.8800000000000002,0.7,1.0,0.0,150,False,
Realizability,pd,"4x4, code_law",0.6,0.4,0.8,0.0,150,True,True
Realizability,pd,"2x2, no_comm",0.9999999999999988,1.0,1.0,0.0,150,False,
Realizability,pd,"2x2, code_nl",0.8800000000000003,0.7,1.0,0.0,150,False,
Realizability,pd,"2x2, code_law",0.16000000000000036,0.0,0.4,0.3610046399031672,150,False,
Realizability,sh,"4x4, no_comm",0.8799999999999997,0.7,1.0,0.0,150,False,
Realizability,sh,"4x4, code_nl",0.8400000000000001,0.7,1.0,0.0,150,False,
Realizability,sh,"4x4, code_law",0.6799999999999998,0.4,0.9,0.0,150,True,True
Realizability,sh,"2x2, no_comm",1.0000000000000018,1.0,1.0,0.0,150,False,
Realizability,sh,"2x2, code_nl",0.44000000000000006,0.15999999999999992,0.7333333333333334,0.0004035919685198265,150,False,
Realizability,sh,"2x2, code_law",0.1599999999999997,0.0,0.4,0.3610046399031672,150,False,
Structural specificity,pd,"(selfish, code-law)",0.43999999999999995,0.43999999999999995,,0.0,1,True,True
Structural specificity,sh,"(selfish, code-law)",0.52,0.52,,0.0,1,True,True
